image,text
data/raw/img\000.jpg,"BOOK TA .K (TAMAN DAYA) SDN BHD
NO.53 55,57 & 59, JALAN SAGU 18, TAMAN DAYA, 81100 JOHOR BAHRU, JOHOR.
25/12/2018
Total: 9.00"
data/raw/img\001.jpg,"INDAH GIFT & HOME DECO
27, JALAN DEDAP 13, TAMAN JOHOR JAYA, 81100 JOHOR BAHRU, JOHOR.
19/10/2018
Total: 60.30"
data/raw/img\002.jpg,"MR D.I.Y. (JOHOR) SDN BHD
LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR (MR DIY TESCO TERBAU)
12-01-19
Total: 33.90"
data/raw/img\003.jpg,"YONGFATT ENTERPRISE
NO 122.124. JALAN DEDAP 13 81100 JOHOR BAHRU
25/12/2018
Total: 80.90"
data/raw/img\004.jpg,"MR D.I.Y. (M) SDN BHD
LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR (TESCO PUTRA NILAI)
18-11-18
Total: 30.90"
data/raw/img\005.jpg,"ABC HO TRADING
NO.2&4, JALAN HARMONI 3/2, TAMAN DESA HARMONI. 81100 JOHOR BAHRU JOHOR
09/01/2019
Total: 31.00"
data/raw/img\006.jpg,"SOON HUAT MACHINERY ENTERPRISE
NO.53 JALAN PUTRA 1, TAMAN SRI PUTRA, 81200 JOHOR BAHRU JOHOR
11/01/2019
Total: 327.00"
data/raw/img\007.jpg,"S.H.H. MOTOR (SUNGAI RENGIT) SDN. BHD.
NO. 343, JALAN KURAU, SUNGAI RENGIT, 81620 PENGERANG, JOHOR.
23-01-2019
Total: 20.00"
data/raw/img\008.jpg,"PERNIAGAAN ZHENG HUI
NO.59 JALAN PERMAS 9/5 BANDAR BARU PERMAS JAYA 81760 JOHOR BAHRU
12/02/2018
Total: 112.45"
data/raw/img\009.jpg,"GERBANG ALAF RESTAURANTS SDN BHD
LEVEL 6, BANGUNAN TH, DAMANSARA UPTOWN3 NO.3, JALAN SS21/39,47400 PETALING JAYA SELANGOR
18/01/2018
Total: 26.60"
data/raw/img\010.jpg,"SAM SAM TRADING CO
67,JLN MEWAH 25/63 TMN SRI MUDA, 40400 SHAH ALAM.
29-12-2017
Total: 14.10"
data/raw/img\011.jpg,"AIK HUAT HARDWARE ENTERPRISE (SETIA ALAM) SDN BHD
NO. 17-G, JALAN SETIA INDAH (X) U13/X, SETIA ALAM, SEKSYEN U13, 40170 SHAH ALAM,
15/06/2017
Total: 15.00"
data/raw/img\012.jpg,"HOME MASTER HARDWARE & ELECTRICAL
NO.113G & 115G, JALAN SETIA GEMBILANG U13/BG BANDAR SETIA ALAM, 40170 BANDAR SETIA ALAM, SELANGOR.
22/12/2017
Total: 15.90"
data/raw/img\013.jpg,"RESTORAN HASSANBISTRO
NO.2-1-1 JALAN SEITA PRIMA Q U 13/Q SEITA ALAM 40170 SHAN ALAM SELANGOR
12/28/2017
Total: 15.00"
